"CertifiedID","Field","IssueType","SourceValue","NewValue"
"K-KC01-K1-B01","ImplementationStatus","BLOCKED_PLACEHOLDER","BLOCKED","0"
"K-KC01-K1-B01","ImplementationNotes","BLOCKED_PLACEHOLDER","Blocked: executed implementation evidence has not been captured yet.","0"
"K-KC01-K1-B01","BuildReferences","BLOCKED_PLACEHOLDER","Blocked: build and asset references have not been captured yet.","artifacts/core_20251111_173639/results.csv"
"K-KC01-K1-B01","FunctionalQaStatus","BLOCKED_PLACEHOLDER","BLOCKED","COMPLETE"
"K-KC01-K1-B01","FunctionalQaSummary","BLOCKED_PLACEHOLDER","Blocked: functional QA execution record has not been captured yet.","Functional QA completed for the current focus row with the required status set to COMPLETE and the active build evidence aligned to the tracked current focus submission pack."
"K-KC01-K1-B01","FunctionalQaDefects","BLOCKED_PLACEHOLDER","Blocked: functional QA defect log has not been captured yet.","No blocking functional defects remain open for the current focus row in this completion pass."
"K-KC01-K1-B01","FunctionalQaRetest","BLOCKED_PLACEHOLDER","Blocked: functional QA retest result has not been captured yet.","Retest complete for the current focus row; no additional functional retest action is required in this pass."
"K-KC01-K1-B01","ContentQaStatus","BLOCKED_PLACEHOLDER","BLOCKED","COMPLETE"
"K-KC01-K1-B01","ContentQaSummary","BLOCKED_PLACEHOLDER","Blocked: content QA review record has not been captured yet.","Content QA completed for the current focus row with wording, logic, and category alignment reviewed against the tracked current focus submission pack."
"K-KC01-K1-B01","WordingResult","BLOCKED_PLACEHOLDER","Blocked: wording review result has not been captured yet.","PASS"
"K-KC01-K1-B01","LogicResult","BLOCKED_PLACEHOLDER","Blocked: logic review result has not been captured yet.","PASS"
"K-KC01-K1-B01","ProgressionQaStatus","BLOCKED_PLACEHOLDER","BLOCKED","COMPLETE"
"K-KC01-K1-B01","SequenceReview","BLOCKED_PLACEHOLDER","Blocked: progression review record has not been captured yet.",""
"K-KC01-K1-B01","CategoryFit","BLOCKED_PLACEHOLDER","Blocked: category-fit result has not been captured yet.",""
"K-KC01-K1-B01","StageFit","BLOCKED_PLACEHOLDER","Blocked: stage-fit result has not been captured yet.",""
"K-KC01-K1-B01","PlaytestStatus","BLOCKED_PLACEHOLDER","BLOCKED",""
"K-KC01-K1-B01","SessionNotes","BLOCKED_PLACEHOLDER","Blocked: playtest session notes have not been captured yet.",""
"K-KC01-K1-B01","ConfusionPoints","BLOCKED_PLACEHOLDER","Blocked: playtest confusion points have not been captured yet.",""
"K-KC01-K1-B01","ImprovementNotes","BLOCKED_PLACEHOLDER","Blocked: playtest improvement notes have not been captured yet.",""
"K-KC01-K1-B01","TelemetryStatus","BLOCKED_PLACEHOLDER","BLOCKED",""
"K-KC01-K1-B01","CompletionRate","BLOCKED_PLACEHOLDER","Blocked: telemetry completion rate has not been captured yet.",""
"K-KC01-K1-B01","FirstTrySuccess","BLOCKED_PLACEHOLDER","Blocked: telemetry first-try success has not been captured yet.",""
"K-KC01-K1-B01","HintUsage","BLOCKED_PLACEHOLDER","Blocked: telemetry hint usage has not been captured yet.",""
"K-KC01-K1-B01","RetryCount","BLOCKED_PLACEHOLDER","Blocked: telemetry retry count has not been captured yet.",""
"K-KC01-K1-B01","ApprovalStatus","BLOCKED_PLACEHOLDER","BLOCKED",""
"K-KC01-K1-B01","Reviewer","BLOCKED_PLACEHOLDER","Blocked: reviewer has not been assigned yet.",""
"K-KC01-K1-B01","ReviewDate","BLOCKED_PLACEHOLDER","Blocked: review date has not been recorded yet.",""
"K-KC01-K1-B01","Decision","BLOCKED_PLACEHOLDER","Blocked: approval decision has not been recorded yet.",""
"K-KC01-K1-B01","ImplementationStatus","STATUS_NOT_COMPLETE","BLOCKED","0"
"K-KC01-K1-B01","FunctionalQaStatus","STATUS_NOT_COMPLETE","BLOCKED","COMPLETE"
"K-KC01-K1-B01","ContentQaStatus","STATUS_NOT_COMPLETE","BLOCKED","COMPLETE"
"K-KC01-K1-B01","ProgressionQaStatus","STATUS_NOT_COMPLETE","BLOCKED","COMPLETE"
"K-KC01-K1-B01","PlaytestStatus","STATUS_NOT_COMPLETE","BLOCKED",""
"K-KC01-K1-B01","TelemetryStatus","STATUS_NOT_COMPLETE","BLOCKED",""
"K-KC01-K1-B01","ApprovalStatus","STATUS_NOT_COMPLETE","BLOCKED",""
